,epoch,phase,epoch_loss,epoch_acc,epoch_mae,QWK
0,1,train,1.6917726786806544,0.5756230795493342,0.5810856947763742,0.6661969859255887
0,1,val,1.2130251015354796,0.7339699863574352,0.3506139154160982,0.8191388154746139
0,2,train,1.0874411681073646,0.7453055650392626,0.35780129737111643,0.7858407650053792
0,2,val,0.8852130225865935,0.7830832196452934,0.2892223738062756,0.845531307224019
0,3,train,0.8634623361960659,0.7794469102082622,0.3079549334243769,0.8197350844569058
0,3,val,0.762466130282674,0.810368349249659,0.24420190995907232,0.8822288632503973
0,4,train,0.7409897402066263,0.7920792079207921,0.2768863093205872,0.8546496183870145
0,4,val,0.6822737409017909,0.800818553888131,0.25102319236016374,0.8919527451494464
0,5,train,0.6662866149432182,0.799248890406282,0.25879139638101745,0.8718798335906142
0,5,val,0.6010772429742072,0.819918144611187,0.22237380627557982,0.899008173468866
0,6,train,0.6184479124149637,0.8091498805052919,0.24547627176510756,0.8788016345182396
0,6,val,0.5692515224421658,0.819918144611187,0.23465211459754434,0.8854325313598412
0,7,train,0.5671760705234492,0.8217821782178218,0.22635711847046774,0.892082179915992
0,7,val,0.5386945309287692,0.82537517053206,0.22237380627557982,0.8949527162959616
0,8,train,0.5344399433365532,0.8354387162854217,0.20553089791737794,0.9056849726677263
0,8,val,0.5424819344306545,0.8308321964529332,0.2073669849931787,0.9121787575630503
0,9,train,0.5031742881532006,0.8357801297371117,0.202458176852168,0.9082962624014829
0,9,val,0.5363952736656142,0.8240109140518418,0.2155525238744884,0.9078328898155514
0,10,train,0.47862563626926563,0.8511437350631615,0.18231478320245817,0.9176372825083583
0,10,val,0.503268731526756,0.8321964529331515,0.21828103683492497,0.8966667574896373
0,11,train,0.4364000341211744,0.8596790713554114,0.1703653123933083,0.9257252347569844
0,11,val,0.504765684494055,0.8267394270122783,0.21828103683492497,0.9007412466367185
0,12,train,0.4236606621689339,0.8617275520655514,0.1689996585865483,0.9257478260121927
0,12,val,0.4963941631424476,0.8321964529331515,0.21282401091405184,0.9033635896957252
0,13,train,0.40508917407519013,0.8729941959713213,0.15466029361556846,0.9318436558329893
0,13,val,0.49349089639736554,0.8294679399727148,0.21418826739427013,0.8991144754911917
0,14,train,0.3865771195655717,0.8767497439399112,0.14714919767838852,0.9380543375621427
0,14,val,0.4902490226584925,0.819918144611187,0.2319236016371078,0.8875421908560908
0,15,train,0.3478095768437364,0.8839194264254012,0.13622396722430863,0.9438558474884853
0,15,val,0.5044825869074948,0.8281036834924966,0.21964529331514324,0.8920626222070619
0,16,train,0.3344671071776354,0.8948446568794811,0.12290884260839878,0.9500333879494012
0,16,val,0.4777088516365132,0.8321964529331515,0.21145975443383355,0.9020875521620885
0,17,train,0.30236220876687864,0.901331512461591,0.11437350631614886,0.9547972574755935
0,17,val,0.46580126879566525,0.8376534788540245,0.20600272851296045,0.9069230729809341
0,18,train,0.2880101250417813,0.905769887333561,0.10720382383065893,0.9586800489248649
0,18,val,0.47409091509705836,0.8417462482946794,0.19781718963165076,0.9142764164806501
0,19,train,0.2795422459552214,0.911232502560601,0.10310686241037897,0.9591933594820292
0,19,val,0.4812437159709358,0.8321964529331515,0.208731241473397,0.90357863710252
0,20,train,0.23011415608204358,0.9354728576305906,0.0696483441447593,0.9756436728830618
0,20,val,0.4864525490047824,0.8417462482946794,0.19781718963165076,0.9125099013661173
